Total,Proportion,Genre
225248,0.2089,Dance
151199,0.1402,Pop
118689,0.1101,Rock
74402,0.0690,Rap/Hip Hop
62653,0.0581,Classical
60142,0.0558,World
50682,0.0470,Indie/Alternative
48295,0.0448,Jazz
30737,0.0285,Folk/Roots
27945,0.0259,Latin Music
23775,0.0220,Christian/Gospel
21970,0.0204,Country and Western
19274,0.0179,Soul/R 'n' B/Funk
17545,0.0163,Metal
14256,0.0132,Ambient/New Age
14071,0.0130,Mandarin Pop
12736,0.0118,Reggae
11633,0.0108,Soundtracks/Musicals/Theatre
10097,0.0094,Kids/Novelty
9591,0.0089,Electronica
9550,0.0089,Blues
7988,0.0074,Spoken Word
6937,0.0064,Easy Listening/Oldies
5562,0.0052,Regional/Others
5140,0.0048,Devotional
5132,0.0048,Schlager
4657,0.0043,Christmas
3875,0.0036,Punjabi
3236,0.0030,Bhojpuri
3174,0.0029,Comedy
2799,0.0026,VariÃƒÂ©tÃƒÂ© FranÃƒÂ§aise
2778,0.0026,Bollywood
1535,0.0014,African Ethnic/Traditional
1424,0.0013,Bengali
1348,0.0012,Telugu
1266,0.0012,Hindustani Classical
973,0.0009,Gujarati
972,0.0009,Tamil
763,0.0007,Marathi
679,0.0006,Malayalam
519,0.0005,Indipop & Remix
470,0.0004,Cantonese Pop
458,0.0004,Oriental Pop
410,0.0004,Flamenco
266,0.0002,DeutschPop
260,0.0002,Asian
247,0.0002,Nederlandstalig
202,0.0002,Ghazal
183,0.0002,Shanson
137,0.0001,Khaleeji
137,0.0001,Dangdut
104,0.0001,Afrikaans
101,0.0001,Italiana
94,0.0001,Islamiyat
43,0.0000,Irish Music
39,0.0000,Classic Arabic/Tarab
22,0.0000,rock_and_pop
14,0.0000,South Devotional
13,0.0000,Cancion de autor
11,0.0000,Australian Music
8,0.0000,Greek
7,0.0000,Spanish pop rock
6,0.0000,Instrumental
2,0.0000,Punk
1,0.0000,Chinese Original
1,0.0000,Iskelda
1,0.0000,Keroncong
1,0.0000,Other
