Total,Proportion,Genre
11427579,0.3096,Pop
3230131,0.0875,Rock
2790506,0.0756,Classical
2713367,0.0735,Dance
2568267,0.0696,Jazz
1528766,0.0414,World
1321354,0.0358,Rap/Hip Hop
1165056,0.0316,Latin Music
1090520,0.0295,Indie/Alternative
923888,0.0250,Folk/Roots
857304,0.0232,Country and Western
699099,0.0189,Easy Listening/Oldies
697272,0.0189,Metal
666424,0.0181,Soundtracks/Musicals/Theatre
666176,0.0181,Soul/R 'n' B/Funk
519636,0.0141,Kids/Novelty
505095,0.0137,Christian/Gospel
404272,0.0110,Ambient/New Age
379174,0.0103,Blues
314114,0.0085,Spoken Word
313336,0.0085,Reggae
312898,0.0085,Electronica
194315,0.0053,Devotional
185971,0.0050,Schlager
171606,0.0046,Mandarin Pop
169687,0.0046,Christmas
166553,0.0045,Bollywood
136035,0.0037,VariÃƒÂ©tÃƒÂ© FranÃƒÂ§aise
103610,0.0028,Regional/Others
95570,0.0026,Comedy
73708,0.0020,Hindustani Classical
47038,0.0013,Flamenco
44530,0.0012,Cantonese Pop
40862,0.0011,Punjabi
37084,0.0010,Bhojpuri
35013,0.0009,Italiana
32250,0.0009,Ghazal
31322,0.0008,Tamil
28534,0.0008,African Ethnic/Traditional
27234,0.0007,Malayalam
24436,0.0007,Telugu
24343,0.0007,Gujarati
22866,0.0006,Bengali
15256,0.0004,Nederlandstalig
14032,0.0004,Oriental Pop
13805,0.0004,DeutschPop
10674,0.0003,Asian
10272,0.0003,Afrikaans
10111,0.0003,Indipop & Remix
9889,0.0003,Marathi
7863,0.0002,Shanson
6755,0.0002,Irish Music
6252,0.0002,Khaleeji
3644,0.0001,Dangdut
3617,0.0001,Islamiyat
2476,0.0001,Cancion de autor
2391,0.0001,rock_and_pop
769,0.0000,Classic Arabic/Tarab
467,0.0000,Keroncong
433,0.0000,Instrumental
328,0.0000,South Devotional
322,0.0000,Australian Music
321,0.0000,Greek
220,0.0000,Punk
201,0.0000,Iskelda
99,0.0000,Spanish pop rock
10,0.0000,Chinese Original
4,0.0000,Other
