X-head,Feature,JT value,JT p-value,KT value,KT p-value
Rap/Hip Hop,Speechiness,4420833.225,0,0.12491392,5.08E-21
Easy Listening/Oldies,Speechiness,3483741.525,1.43E-30,-0.148123249,2.12E-32
Easy Listening/Oldies,Acousticness,3509958.405,1.18E-27,-0.140552878,2.64E-29
Easy Listening/Oldies,Energy,4326665.495,7.26E-13,0.095272168,1.58E-13
Easy Listening/Oldies,Loudness,4323052.59,1.15E-12,0.094302639,2.49E-13
Classical,Loudness,3702954.72,2.17E-08,-0.085093698,9.04E-09
Classical,Energy,3706545.725,3.03E-08,-0.084104458,1.27E-08
Dance,Liveness,4210263.695,3.41E-08,0.085957604,1.45E-08
Easy Listening/Oldies,Liveness,3457439.455,4.58E-08,-0.073989712,1.87E-08
Easy Listening/Oldies,Instrumentalness,3452329.965,1.19E-07,-0.075137635,5.78E-08
Dance,Instrumentalness,4210658.875,4.61E-07,0.086140214,2.46E-07
Reggae,Energy,3773462.645,1.67E-05,-0.063703114,1.03E-05
Reggae,Speechiness,4201039.445,2.85E-05,0.059831632,1.75E-05
Metal,Acousticness,3769708.685,4.57E-05,-0.06439462,3.09E-05
Metal,Liveness,4162542.96,0.000146414,0.06104769,0.000101317
Metal,Instrumentalness,4158687.675,0.000174479,0.059759437,0.000124271
Dance,Loudness,3802907.725,0.000470196,-0.054276528,0.000346346
Rap/Hip Hop,Tempo,3792420.385,0.000600026,-0.056716182,0.000477608
Indie/Alternative,Danceability,3795041.915,0.000626752,-0.056934399,0.000479848
Metal,Danceability,3809333.595,0.000767723,-0.053938317,0.000585056
Rap/Hip Hop,Loudness,3811668.515,0.000983393,-0.050979958,0.000751357
Classical,Danceability,3799482.445,0.00111005,-0.057267287,0.000914941
Rap/Hip Hop,Energy,3807555.425,0.001194797,-0.052338623,0.000942086
Pop,Loudness,4176554.4,0.001366168,0.052823373,0.001071435
Jazz,Instrumentalness,4138031.56,0.002094058,0.046914829,0.001683323
World,Loudness,4126809.52,0.002310272,0.051064518,0.001893119
World,Danceability,4120797.03,0.002731817,0.049438012,0.002234467
Jazz,Liveness,4140682.89,0.003141327,0.047777196,0.00256336
Easy Listening/Oldies,Mode,1373230.74,0.003389393,0.047338072,0.002594141
Rock,Loudness,3837985.35,0.004482714,-0.046008169,0.003747369
Dance,Tempo,4148610.84,0.005072021,0.046330913,0.00432647
Reggae,Loudness,3862190.335,0.008443676,-0.037985968,0.006949752
Metal,Valence,3855420.78,0.010277592,-0.04063668,0.008966439
Dance,Acousticness,3829994.22,0.012267716,-0.04644522,0.011123995
Metal,Energy,4136202.535,0.014187845,0.040459403,0.012376775
Pop,Liveness,3333950.37,0.019457481,-0.039706259,0.017301732
Pop,Instrumentalness,3324721.405,0.019963691,-0.042221331,0.018013182
Rap/Hip Hop,Danceability,4118192.445,0.020945384,0.037469885,0.018736737
Mandarin Pop,Loudness,4083001.82,0.025359759,0.034072809,0.022178097
Metal,Speechiness,4124863.955,0.026107106,0.03719727,0.023439102
Indie/Alternative,Instrumentalness,4048017.01,0.04031904,0.033406131,0.036238921
Rap/Hip Hop,Liveness,2392465.12,0.043350052,-0.038637571,0.040514344
Dance,Valence,3873661.13,0.046940941,-0.033883289,0.043581095
Pop,Acousticness,3883316.605,0.053402234,-0.031996299,0.049285072
Rap/Hip Hop,Instrumentalness,2400866.635,0.054940394,-0.036013261,0.051331202
Rock,Valence,4112147.94,0.055357385,0.033061069,0.05216693
Rock,Instrumentalness,3966354.31,0.061004966,0.03232337,0.056820527
Indie/Alternative,Liveness,4035347.78,0.068423033,0.029564819,0.063453665
Pop,Energy,4101348.62,0.070413574,0.03097653,0.066164627
Rock,Liveness,3963854.315,0.072977068,0.031477018,0.068418915
Dance,Speechiness,3898293.015,0.103202653,-0.026821199,0.097596423
